signal_date,scan_time,rank,code,name,scan_price,scan_change_pct,scan_volume_ratio,scan_turnover_rate,scan_amplitude,scan_vol_vs_ma5,scan_ma5_dev,rule_score,rule_score_pct,adaptive_score,final_score,status,settle_time,same_day_close,same_day_return_pct,hit_limit_up,next_exit_price,next_return_pct,success,data_source,market_captured_at,enrich_score,enrich_notes
2026-04-28,2026-04-28 14:25:26,7,603110,东方材料,21.01,6.87,0.0,0.0,0.0,3.64,11.02,60,57,,74.0,settled,2026-04-29 13:38:23,21.13,0.571156592098987,0.0,21.01,0.0,0.0,新浪,2026-04-28 14:23:18,14.0,同花顺量价齐升、同花顺突破5日线、腾讯尾段成交放大
2026-04-28,2026-04-28 14:25:26,9,002774,快意电梯,12.66,3.52,0.0,0.0,0.0,1.33,4.09,55,52,,71.0,settled,2026-04-29 13:38:23,,,0.0,12.66,0.0,0.0,新浪,2026-04-28 14:23:18,16.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘占优63%
2026-04-28,2026-04-28 14:25:26,16,601699,潞安环能,15.87,6.15,0.0,0.0,0.0,1.22,4.62,55,52,,68.0,settled,2026-04-29 13:38:23,,,0.0,15.87,0.0,0.0,新浪,2026-04-28 14:23:18,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
2026-04-28,2026-04-28 14:25:26,18,601218,吉鑫科技,6.75,4.01,0.0,0.0,0.0,1.4,2.89,55,52,,68.0,settled,2026-04-29 13:38:23,,,0.0,6.75,0.0,0.0,新浪,2026-04-28 14:23:18,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
2026-04-29,2026-04-29 13:38:27,1,605118,力鼎光电,49.11,3.69,0.0,0.0,0.0,2.12,5.72,67,63,,67.0,settled,2026-04-30 12:29:22,,,0.0,49.28,0.3461616778660081,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,2,002833,弘亚数控,20.25,4.71,0.0,0.0,0.0,1.68,4.31,63,60,,63.0,settled,2026-04-30 12:29:22,,,0.0,20.46,1.0370370370370363,1.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,3,605089,味知香,29.25,3.07,0.0,0.0,0.0,3.5,3.5,63,60,,63.0,settled,2026-04-30 12:29:22,,,0.0,27.54,-5.846153846153845,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,4,603798,康普顿,19.07,4.67,0.0,0.0,0.0,1.62,3.33,63,60,,63.0,settled,2026-04-30 12:29:22,,,0.0,18.94,-0.6816990036706772,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,5,603170,宝立食品,13.85,2.21,0.0,0.0,0.0,3.32,1.93,61,58,,61.0,settled,2026-04-30 12:29:22,,,0.0,13.97,0.8664259927797957,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,6,002963,豪尔赛,16.77,6.34,0.0,0.0,0.0,1.67,4.11,61,58,,61.0,settled,2026-04-30 12:29:22,,,0.0,17.41,3.816338700059641,1.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,7,603110,东方材料,21.01,6.87,0.0,0.0,0.0,3.64,11.02,60,57,,60.0,settled,2026-04-30 12:29:22,,,0.0,21.61,2.855782960495002,1.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,8,600830,香溢融通,10.06,5.45,0.0,0.0,0.0,4.65,10.12,60,57,,60.0,settled,2026-04-30 12:29:22,,,0.0,10.14,0.7952286282306265,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,9,603125,常青科技,22.45,4.52,0.0,0.0,0.0,4.01,11.83,60,57,,60.0,settled,2026-04-30 12:29:22,,,0.0,22.66,0.935412026726068,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,10,603221,爱丽家居,12.28,3.28,0.0,0.0,0.0,2.0,2.54,60,57,,60.0,settled,2026-04-30 12:29:22,,,0.0,12.18,-0.8143322475570036,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,11,000809,和展能源,3.85,4.05,0.0,0.0,0.0,2.34,2.89,60,57,,60.0,settled,2026-04-30 12:29:22,,,0.0,3.8,-1.2987012987013102,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,12,001259,利仁科技,33.39,3.06,0.0,0.0,0.0,2.18,1.77,58,55,,58.0,settled,2026-04-30 12:29:22,,,0.0,34.04,1.9466906259359096,1.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,13,002092,中泰化学,6.99,3.86,0.0,0.0,0.0,1.7,5.85,58,55,,58.0,settled,2026-04-30 12:29:22,,,0.0,6.93,-0.8583690987124526,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,14,002216,三全食品,14.64,1.46,0.0,0.0,0.0,3.13,6.54,57,54,,57.0,settled,2026-04-30 12:29:22,,,0.0,14.58,-0.4098360655737765,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,15,603682,锦和商管,8.33,6.12,0.0,0.0,0.0,2.8,7.71,57,54,,57.0,settled,2026-04-30 12:29:22,,,0.0,8.47,1.6806722689075793,1.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,16,605266,健之佳,19.89,4.08,0.0,0.0,0.0,1.81,1.28,56,53,,56.0,settled,2026-04-30 12:29:22,,,0.0,19.84,-0.2513826043237799,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,17,603353,和顺石油,39.78,6.33,0.0,0.0,0.0,1.53,1.37,56,53,,56.0,settled,2026-04-30 12:29:22,,,0.0,43.82,10.155857214680752,1.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,18,601918,新集能源,8.73,3.44,0.0,0.0,0.0,1.62,5.18,56,53,,56.0,settled,2026-04-30 12:29:22,,,0.0,9.0,3.092783505154628,1.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,19,000523,红棉股份,3.41,4.6,0.0,0.0,0.0,1.87,0.87,56,53,,56.0,settled,2026-04-30 12:29:22,,,0.0,3.43,0.5865102639296182,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:38:27,20,002774,快意电梯,12.66,3.52,0.0,0.0,0.0,1.33,4.09,55,52,,55.0,settled,2026-04-30 12:29:22,,,0.0,12.0,-5.213270142180093,0.0,新浪,2026-04-28 14:23:18,0.0,
2026-04-29,2026-04-29 13:44:24,1,002266,浙富控股,4.98,4.62,0.0,0.0,0.0,2.95,4.68,67,63,,78.0,settled,2026-04-30 12:29:22,,,0.0,5.04,1.2048192771084263,1.0,新浪,2026-04-29 13:42:16,11.0,同花顺突破5日线、腾讯买盘偏强57%、腾讯尾段成交放大
2026-04-29,2026-04-29 13:44:24,2,002340,格林美,9.38,5.04,0.0,0.0,0.0,2.16,4.4,67,63,,78.0,settled,2026-04-30 12:29:22,,,0.0,9.64,2.771855010660973,1.0,新浪,2026-04-29 13:42:16,11.0,同花顺连续上涨、同花顺突破5日线、腾讯尾段成交放大
2026-04-29,2026-04-29 13:44:24,3,003026,中晶科技,47.79,5.54,0.0,0.0,0.0,1.8,5.97,63,60,,76.0,settled,2026-04-30 12:29:22,,,0.0,47.42,-0.7742205482318409,0.0,新浪,2026-04-29 13:42:16,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
2026-04-29,2026-04-29 13:44:24,4,002795,永和智控,9.05,4.02,0.0,0.0,0.0,2.86,6.59,67,63,,75.0,settled,2026-04-30 12:29:22,,,0.0,9.01,-0.4419889502762508,0.0,新浪,2026-04-29 13:42:16,8.0,同花顺突破5日线、腾讯尾段成交放大
2026-04-29,2026-04-29 13:44:24,5,002407,多氟多,35.98,6.58,0.0,0.0,0.0,1.56,6.9,63,60,,73.0,settled,2026-04-30 12:29:22,,,0.0,35.87,-0.3057254030016665,0.0,新浪,2026-04-29 13:42:16,10.0,同花顺突破5日线、腾讯买盘占优65%
2026-04-29,2026-04-29 13:44:24,6,600884,杉杉股份,16.37,3.87,0.0,0.0,0.0,1.53,4.9,63,60,,73.0,settled,2026-04-30 12:29:22,,,0.0,16.9,3.237629810629183,1.0,新浪,2026-04-29 13:42:16,10.0,同花顺突破5日线、腾讯买盘占优65%
2026-04-29,2026-04-29 13:44:24,7,002591,恒大高新,7.62,4.1,0.0,0.0,0.0,1.52,2.86,58,55,,71.0,settled,2026-04-30 12:29:22,,,0.0,7.6,-0.2624671916010568,0.0,新浪,2026-04-29 13:42:16,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
2026-04-29,2026-04-29 13:44:24,8,600323,瀚蓝环境,32.58,3.99,0.0,0.0,0.0,1.79,4.2,58,55,,71.0,settled,2026-04-30 12:29:22,,,0.0,32.47,-0.3376304481276793,0.0,新浪,2026-04-29 13:42:16,13.0,同花顺连续上涨、同花顺突破5日线、腾讯买盘占优63%
2026-04-29,2026-04-29 13:44:24,10,605589,圣泉集团,39.8,5.15,0.0,0.0,0.0,2.05,4.09,67,63,,70.0,settled,2026-04-30 12:29:22,,,0.0,40.81,2.5376884422110724,1.0,新浪,2026-04-29 13:42:16,3.0,腾讯买盘偏强61%
2026-04-29,2026-04-29 13:44:24,11,603045,福达合金,41.85,4.39,0.0,0.0,0.0,1.52,6.67,63,60,,70.0,settled,2026-04-30 12:29:22,,,0.0,42.44,1.409796893667847,1.0,新浪,2026-04-29 13:42:16,7.0,同花顺突破5日线、腾讯买盘偏强57%
2026-04-29,2026-04-29 13:44:24,12,000782,恒申新材,7.15,4.23,0.0,0.0,0.0,3.14,7.35,65,61,,69.0,settled,2026-04-30 12:29:22,,,0.0,7.1,-0.6993006993007089,0.0,新浪,2026-04-29 13:42:16,4.0,同花顺突破5日线
2026-04-29,2026-04-29 13:44:24,13,002563,森马服饰,6.08,6.29,0.0,0.0,0.0,2.21,3.89,62,59,,69.0,settled,2026-04-30 12:29:22,,,0.0,6.06,-0.328947368421062,0.0,新浪,2026-04-29 13:42:16,7.0,同花顺连续上涨、同花顺突破5日线
2026-04-29,2026-04-29 13:44:24,14,000651,格力电器,40.63,5.7,0.0,0.0,0.0,1.74,1.14,56,53,,69.0,settled,2026-04-30 12:29:22,,,0.0,40.47,-0.3937976864386017,0.0,新浪,2026-04-29 13:42:16,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
2026-04-29,2026-04-29 13:44:24,15,600540,新赛股份,5.09,4.09,0.0,0.0,0.0,1.63,2.62,63,60,,69.0,settled,2026-04-30 12:29:22,,,0.0,5.07,-0.3929273084479323,0.0,新浪,2026-04-29 13:42:16,6.0,腾讯买盘占优76%
2026-04-29,2026-04-29 13:44:24,16,603488,展鹏科技,11.37,3.74,0.0,0.0,0.0,2.22,2.89,65,61,,68.0,settled,2026-04-30 12:29:22,,,0.0,11.4,0.2638522427440781,0.0,新浪,2026-04-29 13:42:16,3.0,腾讯买盘偏强57%
2026-04-29,2026-04-29 13:44:24,17,000636,风华高科,25.35,3.72,0.0,0.0,0.0,1.37,3.19,55,52,,68.0,settled,2026-04-30 12:29:22,,,0.0,25.28,-0.2761341222879743,0.0,新浪,2026-04-29 13:42:16,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
2026-04-29,2026-04-29 13:44:24,18,000589,贵州轮胎,5.1,7.82,0.0,0.0,0.0,3.4,3.55,60,57,,68.0,settled,2026-04-30 12:29:22,,,0.0,5.1,0.0,0.0,新浪,2026-04-29 13:42:16,8.0,同花顺突破5日线、腾讯尾段成交放大
2026-04-29,2026-04-29 13:44:24,19,603029,天鹅股份,19.76,2.97,0.0,0.0,0.0,1.6,1.96,54,51,,67.0,settled,2026-04-30 12:29:22,,,0.0,19.62,-0.7085020242915019,0.0,新浪,2026-04-29 13:42:16,13.0,同花顺量价齐升、同花顺连续上涨、同花顺突破5日线
2026-04-29,2026-04-29 13:44:24,20,603156,养元饮品,35.63,4.12,0.0,0.0,0.0,1.76,3.35,63,60,,67.0,settled,2026-04-30 12:29:22,,,0.0,35.84,0.5893909626718985,0.0,新浪,2026-04-29 13:42:16,4.0,同花顺突破5日线
2026-04-29,2026-04-29 14:14:56,5,000546,金圆股份,7.39,3.94,0.0,0.0,0.0,1.67,5.6,63,60,,73.0,settled,2026-04-30 12:29:22,,,0.0,7.37,-0.270635994587276,0.0,新浪,2026-04-29 14:12:47,10.0,同花顺突破5日线、腾讯买盘占优72%
2026-04-29,2026-04-29 14:14:56,10,002798,帝欧水华,7.91,4.22,0.0,0.0,0.0,1.86,5.17,63,60,,70.0,settled,2026-04-30 12:29:22,,,0.0,7.89,-0.2528445006321211,0.0,新浪,2026-04-29 14:12:47,7.0,同花顺连续上涨、同花顺突破5日线
2026-04-29,2026-04-29 23:58:31,1,600099,林海股份,11.52,3.5,0.0,0.0,0.0,2.7,0.35,65,61,,85.0,settled,2026-04-30 12:29:22,,,0.0,11.52,0.0,0.0,新浪,2026-04-29 23:46:02,20.0,同花顺量价齐升、同花顺突破5日线、腾讯买盘占优63%、腾讯尾段成交放大
2026-04-29,2026-04-29 23:58:31,13,603136,天目湖,11.16,3.52,0.0,0.0,0.0,2.92,4.7,62,59,,76.0,settled,2026-04-30 12:29:22,,,0.0,11.16,0.0,0.0,新浪,2026-04-29 23:46:02,14.0,同花顺量价齐升、同花顺突破5日线、腾讯尾段成交放大
2026-04-29,2026-04-29 23:58:31,15,002442,龙星科技,6.37,4.6,0.0,0.0,0.0,3.69,5.62,65,61,,75.0,settled,2026-04-30 12:29:22,,,0.0,6.37,0.0,0.0,新浪,2026-04-29 23:46:02,10.0,同花顺量价齐升、同花顺突破5日线
2026-04-29,2026-04-29 23:58:31,18,002248,华东数控,12.92,3.61,0.0,0.0,0.0,2.7,3.32,60,57,,74.0,settled,2026-04-30 12:29:22,,,0.0,12.92,0.0,0.0,新浪,2026-04-29 23:46:02,14.0,同花顺量价齐升、同花顺突破5日线、腾讯尾段成交放大
2026-04-30,2026-04-30 12:52:29,1,002795,永和智控,9.01,3.56,0.0,0.0,0.0,2.86,6.59,67,63,104.31818181818184,76.32954545454545,settled,2026-05-10 02:49:53,,,0.0,9.7,7.658157602663707,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,2,002266,浙富控股,5.04,5.88,0.0,0.0,0.0,2.95,4.68,67,63,103.86363636363636,76.2159090909091,settled,2026-05-10 02:49:53,,,0.0,5.65,12.103174603174605,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,3,603488,展鹏科技,11.4,4.01,0.0,0.0,0.0,2.22,2.89,65,61,102.27272727272728,74.31818181818181,settled,2026-05-10 02:49:53,,,0.0,13.14,15.263157894736846,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,4,002442,龙星科技,6.37,4.6,0.0,0.0,0.0,3.69,5.62,65,61,101.36363636363636,74.0909090909091,settled,2026-05-10 02:49:53,,,0.0,6.37,0.0,0.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,5,002407,多氟多,35.87,6.25,0.0,0.0,0.0,1.56,6.9,63,60,105.0,73.5,settled,2026-05-10 02:49:53,,,0.0,34.99,-2.453303596320034,0.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,6,603045,福达合金,42.44,5.86,0.0,0.0,0.0,1.52,6.67,63,60,104.77272727272728,73.44318181818181,settled,2026-05-10 02:49:53,,,0.0,62.14,46.41847313854854,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,7,600099,林海股份,11.52,3.5,0.0,0.0,0.0,2.7,0.35,65,61,98.63636363636364,73.4090909090909,settled,2026-05-10 02:49:53,,,0.0,11.84,2.77777777777779,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,8,003026,中晶科技,47.42,4.73,0.0,0.0,0.0,1.8,5.97,63,60,104.54545454545456,73.38636363636364,settled,2026-05-10 02:49:53,,,0.0,47.2,-0.4639392661324293,0.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,9,000546,金圆股份,7.37,3.66,0.0,0.0,0.0,1.67,5.6,63,60,104.0909090909091,73.27272727272728,settled,2026-05-10 02:49:53,,,0.0,7.83,6.241519674355489,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,10,002798,帝欧水华,7.89,3.95,0.0,0.0,0.0,1.86,5.17,63,60,103.1818181818182,73.04545454545455,settled,2026-05-10 02:49:53,,,0.0,8.44,6.970849176172367,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,11,603156,养元饮品,35.84,4.73,0.0,0.0,0.0,1.76,3.35,63,60,102.72727272727272,72.93181818181819,settled,2026-05-10 02:49:53,,,0.0,40.78,13.78348214285714,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,12,600540,新赛股份,5.07,3.68,0.0,0.0,0.0,1.63,2.62,63,60,102.04545454545456,72.76136363636364,settled,2026-05-10 02:49:53,,,0.0,5.59,10.25641025641024,1.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,13,002340,格林美,9.64,7.95,0.0,0.0,0.0,2.16,4.4,62,59,103.63636363636364,72.4090909090909,settled,2026-05-10 02:49:53,,,0.0,9.25,-4.045643153526979,0.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,14,605589,圣泉集团,40.81,7.82,0.0,0.0,0.0,2.05,4.09,62,59,103.4090909090909,72.35227272727272,settled,2026-05-10 02:49:53,,,0.0,39.66,-2.817936780200947,0.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,15,002563,森马服饰,6.06,5.94,0.0,0.0,0.0,2.21,3.89,62,59,102.5,72.125,settled,2026-05-10 02:49:53,,,0.0,6.08,0.3300330033003451,0.0,新浪,2026-04-29 23:46:02,0.0,
2026-04-30,2026-04-30 12:52:29,16,603136,天目湖,11.16,3.52,0.0,0.0,0.0,2.92,4.7,62,59,100.45454545454544,71.61363636363636,settled,2026-05-10 02:49:53,,,0.0,10.56,-5.376344086021501,0.0,新浪,2026-04-29 23:46:02,0.0,
