date,code,open,close,high,low,volume,amount,change_pct,amplitude,turnover_rate,volume_ratio_5,volume_ratio_10,turnover_ratio_5,ma5_dev,ma10_dev,ma20_dev,return_3d,return_5d,return_10d,volatility_10d,price_position_10d,ma_bull_aligned,next_date,next_open_return,next_close_return,next_touch_limit_up,next_close_limit_up,score
2026-04-16,002805,17.9,18.51,19.37,17.61,510358,955741965.64,5.11,9.99,18.32,3.265994386430161,3.3486717395169876,3.2667617689015693,3.511911419304359,6.895356895356897,6.969486823855742,4.458239277652387,9.397163120567376,6.0744985673352625,3.585059575412363,74.78005865102642,1,2026-04-17,-2.420656266810106,-2.366863905325456,0,0,100.0
2026-04-16,002125,13.6,14.29,14.39,13.5,366934,518772293.62,6.01,6.6,5.83,2.384140469974569,2.394530352705327,2.383483237939493,4.291344329294966,7.411304870715574,7.443609022556386,5.305821665438448,9.501915708812248,8.012093726379433,3.177641606946032,94.97487437185923,1,2026-04-17,-1.1204481792717047,-0.770308123249297,0,0,99.0
2026-04-16,002334,8.58,9.01,9.16,8.52,658542,586536571.74,5.13,7.47,8.96,2.340262817674414,2.671724972280339,2.3382045929018793,4.670074349442377,8.15028207898212,8.632746563781035,6.880189798339265,10.146699266503667,9.878048780487813,2.7644249499797517,88.72180451127817,1,2026-04-17,-3.83275261324042,-2.5551684088269355,0,0,99.0
2026-04-16,002556,6.07,6.31,6.45,5.96,354489,221360442.9,4.47,8.11,3.75,2.7586005640326468,2.2487249429078915,2.757352941176471,2.869253342028033,3.7146614069690775,3.7828947368421018,3.7828947368421018,3.7828947368421018,3.104575163398682,3.4026238202562897,81.08108108108101,1,2026-04-17,1.1058451816745807,1.2638230647709303,0,0,99.0
2026-04-16,002826,19.94,21.37,21.66,19.85,96516,201172159.0,6.69,9.04,5.27,2.288052419718083,2.1183860793527813,2.2873263888888893,4.816558760054956,4.986489805944494,6.6127865499264304,6.8500000000000005,4.754901960784319,3.1868662481892907,2.8964437278765103,84.06593406593412,1,2026-04-17,-1.169864295741696,-1.1230697239120402,0,0,99.0
2026-04-16,000721,7.91,8.27,8.38,7.87,284087,231851371.75,3.5,6.38,5.54,2.8558747660206723,3.2524961560170498,2.849794238683128,4.366481574962133,5.984877611175188,5.653145959757255,6.025641025641026,7.682291666666674,4.551201011378003,2.4509126304252624,87.91208791208778,0,2026-04-17,-1.589242053789719,-1.1002444987775029,0,0,97.0
2026-04-16,002633,17.96,18.91,19.23,17.71,57972,107771334.0,6.48,8.56,3.88,3.117981153995095,2.734708895870482,3.113964686998395,4.003959960400394,5.137329033692883,4.706533776301214,4.648588821250699,5.230940456316091,4.302261445118605,2.8131736408873635,84.4660194174757,0,2026-04-17,0.15847860538826808,-0.05282620179608566,0,0,97.0
2026-04-16,603300,6.8,7.1,7.16,6.78,1249155,878455688.0,4.87,5.61,6.26,2.5971297480618545,2.431858967345491,2.5932062966031486,3.7708272434960666,5.403800475059373,4.250789222524043,5.654761904761907,6.446776611694149,4.2584434654919345,3.4954298534308768,92.10526315789467,0,2026-04-17,1.2747875354107707,1.5580736543909346,0,0,97.0
2026-04-16,605088,34.31,36.42,36.68,34.25,76889,274470908.0,6.12,7.08,3.85,3.120596447936621,3.2537345012906775,3.125000000000001,4.9325803849256555,7.519263129926479,7.409865074098665,7.11764705882354,10.800121691512032,6.678383128295251,2.968910596528971,94.36008676789592,0,2026-04-17,1.4277869302580903,1.4003294892915852,0,0,97.0
2026-04-16,600877,16.4,17.2,17.47,16.4,398844,679407318.0,4.31,6.49,3.37,2.2225887739328236,2.5097850683004057,2.2258916776750333,3.9903264812575667,6.205619018215502,6.941896975160877,6.107341147439849,6.832298136645942,6.435643564356441,2.7643473985821907,86.76470588235296,1,2026-04-17,1.225204200700114,1.0501750291715295,0,0,96.0
