date,code,pre_close,price,change_pct,turnover_rate_daily,next_day_open_return,is_strong_open,is_limit_up,ma5_dev,ma10_dev,return_5d,return_10d,vol_vs_ma5,ma_bull_aligned,price_position_10d,volatility_10d,hist_limit_up_rate_20d,recent_high_touch_count,avg_amplitude_20d,score
2026-04-21,600251,11.289560699102504,11.95,5.85,4.03,-1.3389,0,0,4.6776,6.3451,8.5377,8.6364,2.5314,1,83.4586,2.7535,4.0,1,4.6688,72.0
2026-04-21,601677,17.4304027551899,18.22,4.53,6.76,-0.0549,0,0,3.4639,5.0386,5.6232,16.4962,2.4473,1,92.0152,3.4406,0.0,1,3.1788,72.0
2026-04-21,605188,17.149325535326856,18.18,6.01,4.4,-3.6854,0,0,3.957,5.3791,5.8207,8.7971,5.0029,1,73.0,2.37,0.0,0,2.6232,72.0
2026-04-21,000049,27.63894069377098,29.64,7.24,8.42,-0.7422,0,0,6.1833,9.0067,7.5082,19.1318,3.4704,1,97.2603,2.6645,0.0,0,3.6656,70.0
2026-04-21,000911,5.870198177890486,6.25,6.47,8.17,-1.28,0,0,5.9322,3.8551,5.5743,-1.4196,3.224,0,74.0741,3.0236,0.0,0,4.1024,70.0
2026-04-21,002629,6.659719590754073,7.03,5.56,18.6,1.8492,1,0,4.8002,6.0012,9.5016,3.9941,2.9339,1,70.297,2.4703,4.0,1,5.7196,70.0
2026-04-21,600780,6.65969979099373,7.01,5.26,5.31,-1.8545,0,0,5.5405,7.0066,7.8462,10.0471,2.6945,0,97.1014,1.9893,4.0,2,4.4748,70.0
2026-04-21,603319,33.92958546280523,35.85,5.66,8.12,-1.0042,0,0,2.9108,5.095,2.2533,17.8889,2.2396,1,88.3677,2.7689,0.0,0,4.2868,70.0
2026-04-21,603693,14.510323924985792,15.32,5.58,5.06,-2.0888,0,0,6.4628,8.6063,8.4218,12.813,3.1168,0,85.2018,2.4956,4.0,1,6.6412,70.0
2026-04-22,000063,35.19984917043741,37.34,6.08,5.73,-0.3749,0,0,4.2434,4.5323,6.0494,9.6945,3.1399,1,97.4359,2.5101,0.0,0,2.9576,75.0
2026-04-22,002391,6.22018698721618,6.52,4.82,7.95,-1.0736,0,0,4.2866,4.7053,5.1613,3.8217,4.8925,1,65.3333,1.8901,0.0,0,3.6972,75.0
2026-04-22,002760,21.899335232668566,23.06,5.3,9.33,-1.5178,0,0,4.325,5.8381,9.1339,4.4384,3.0726,1,69.4805,2.1982,0.0,0,4.1652,75.0
2026-04-22,601311,10.24988213107025,10.87,6.05,12.02,-0.46,0,0,4.2386,6.5477,7.9444,14.7835,3.4291,1,79.1878,2.5101,0.0,0,3.5592,75.0
2026-04-22,000526,32.45045731707317,34.06,4.96,4.87,1.057,1,0,5.1884,5.2762,6.8717,5.7436,2.9645,1,87.172,2.605,0.0,0,3.4792,72.0
2026-04-22,002862,17.119800172927278,17.82,4.09,4.41,0.1122,0,0,3.2086,3.5866,4.1496,5.1948,2.5569,1,92.4812,1.7726,0.0,0,3.4796,72.0
2026-04-22,603333,7.940304218884532,8.3,4.53,3.74,-0.3614,0,0,4.3763,4.8509,6.9588,6.274,3.1193,1,81.0127,1.8463,0.0,0,3.9024,72.0
2026-04-22,000159,6.2398934652335205,6.56,5.13,8.18,-0.3049,0,0,3.7975,3.6499,5.8065,0.0,3.6291,0,65.0794,2.2513,0.0,0,3.6892,70.0
2026-04-22,000707,5.89008924377642,6.27,6.45,11.19,-0.9569,0,0,5.52,5.6445,7.363,4.6745,7.4238,0,71.2329,2.245,0.0,0,3.8268,70.0
2026-04-22,000938,27.609116914275173,29.92,8.37,11.3,2.0053,1,0,5.5528,7.0789,8.8792,13.0763,2.6685,1,89.6313,3.351,0.0,0,4.744,70.0
2026-04-22,600638,5.960264900662251,6.39,7.21,5.57,-0.7825,0,0,5.5849,6.0229,6.8562,6.1462,4.9231,1,82.3529,2.637,0.0,0,3.1568,70.0
2026-04-22,603112,20.639670812681196,22.07,6.93,4.16,-1.2234,0,0,6.0752,9.9323,8.2924,24.268,2.0935,1,92.176,3.1879,0.0,0,3.6352,69.0
2026-04-22,000829,10.990476190476189,11.54,5.0,6.89,0.5199,1,0,4.3211,6.546,8.2552,8.9707,1.5708,1,81.5603,1.8878,0.0,0,3.9808,68.0
2026-04-22,002745,8.620193690670247,8.99,4.29,6.98,0.0,0,0,3.4284,4.6444,6.8966,3.5714,1.6548,1,88.75,1.9865,0.0,0,4.024,68.0
2026-04-22,002922,39.169641179785835,41.7,6.46,7.82,0.2398,0,0,4.1095,6.0988,8.0871,11.9764,1.6658,1,91.2963,3.4638,0.0,1,4.8008,68.0
2026-04-22,603633,8.539865513928916,8.89,4.1,8.09,-2.1372,0,0,4.2448,9.3078,10.2978,14.4144,1.6395,1,87.6623,2.3428,0.0,0,4.112,68.0
2026-04-22,603660,10.150447533803085,10.66,5.02,5.8,-0.5629,0,0,3.9594,5.9326,5.1282,11.9748,1.8837,1,92.1053,2.4558,4.0,1,4.8792,68.0
2026-04-22,000722,13.93020594965675,14.61,4.88,14.18,-0.0684,0,0,6.054,8.843,11.0182,12.1259,2.2883,0,74.1697,2.1307,12.0,3,5.1136,67.0
2026-04-22,002413,14.150496923805015,14.95,5.65,22.69,-2.2742,0,0,6.3603,9.1878,10.905,10.5769,2.1049,1,78.6822,2.3647,0.0,0,4.9792,67.0
2026-04-22,002955,25.22086064405814,26.55,5.27,3.01,0.5273,1,0,3.9058,3.719,5.7348,0.1509,3.0366,0,79.5918,2.3679,0.0,0,3.4808,67.0
2026-04-23,000066,15.609332819128426,16.19,3.72,7.62,7.2267,1,0,2.7545,3.7488,3.7821,8.6577,3.0806,1,58.4615,1.6666,0.0,0,3.522,75.0
