代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score,enrich_score,enrich_notes
000886,海南高速,5.53,2.79,0.0,0.0,0.0,28823599,15813.8,0.07,1.69,46,43,新浪,2026-04-30 20:18:22,76.86,53.715,0.0,
600060,海信视像,25.6,2.15,0.0,0.0,0.0,18175331,46206.3,2.07,1.04,44,41,新浪,2026-04-30 20:18:22,82.53,53.6325,0.0,
600159,大龙地产,3.33,2.46,0.0,0.0,0.0,33545410,11141.9,4.6,1.39,43,40,新浪,2026-04-30 20:18:22,84.84,53.46,0.0,
600206,有研新材,27.37,2.01,0.0,0.0,0.0,88129368,239755.1,1.95,1.14,44,41,新浪,2026-04-30 20:18:22,81.27,53.317499999999995,0.0,
600769,祥龙电业,16.0,5.4,0.0,0.0,0.0,26015503,41243.4,0.3,0.92,43,40,新浪,2026-04-30 20:18:22,83.58,53.144999999999996,0.0,
002068,黑猫股份,9.51,6.14,0.0,0.0,0.0,41701329,39248.7,0.3,1.21,43,40,新浪,2026-04-30 20:18:22,82.95,52.9875,0.0,
002793,罗欣药业,5.53,2.6,0.0,0.0,0.0,58898290,32491.3,1.21,1.19,44,41,新浪,2026-04-30 20:18:22,79.8,52.95,0.0,
605111,新洁能,40.68,2.29,0.0,0.0,0.0,23408052,93659.9,3.29,1.25,43,40,新浪,2026-04-30 20:18:22,82.32000000000001,52.83,0.0,
603291,联合水务,11.46,1.69,0.0,0.0,0.0,5231351,5912.3,0.65,1.6,45,42,新浪,2026-04-30 20:18:22,75.17999999999999,52.545,0.0,
600123,兰花科创,7.08,2.61,0.0,0.0,0.0,58679636,41435.5,2.75,1.47,43,40,新浪,2026-04-30 20:18:22,79.38,52.095,0.0,
000036,华联控股,5.59,2.76,0.0,0.0,0.0,71413416,40060.3,2.29,1.38,43,40,新浪,2026-04-30 20:18:22,78.96,51.989999999999995,0.0,
002404,嘉欣丝绸,7.04,1.73,0.0,0.0,0.0,10953412,7693.5,0.06,1.72,45,42,新浪,2026-04-30 20:18:22,72.86999999999999,51.9675,0.0,
002133,广宇集团,3.47,2.06,0.0,0.0,0.0,20123301,6967.4,1.78,1.86,44,41,新浪,2026-04-30 20:18:22,74.75999999999999,51.69,0.0,
002357,富临运业,11.72,3.81,0.0,0.0,0.0,16768100,19491.6,1.45,1.08,42,40,新浪,2026-04-30 20:18:22,79.59,51.3975,0.0,
603626,科森科技,25.16,5.01,0.0,0.0,0.0,54825402,134440.8,5.28,1.4,40,38,新浪,2026-04-30 20:18:22,85.26,51.315,0.0,
002568,百润股份,19.06,4.38,0.0,0.0,0.0,39276556,75094.9,-0.56,1.23,43,40,新浪,2026-04-30 20:18:22,76.23,51.307500000000005,0.0,
600768,宁波富邦,18.88,3.23,0.0,0.0,0.0,13507790,25405.1,1.59,1.07,42,40,新浪,2026-04-30 20:18:22,78.75,51.1875,0.0,
603333,尚纬股份,8.44,5.24,0.0,0.0,0.0,43592001,37378.6,0.27,0.58,41,39,新浪,2026-04-30 20:18:22,81.69,51.1725,0.0,
605016,百龙创园,27.19,5.59,0.0,0.0,0.0,10603087,28578.1,-0.15,0.69,41,39,新浪,2026-04-30 20:18:22,80.64,50.91,0.0,
002105,信隆健康,6.79,1.65,0.0,0.0,0.0,9688369,6578.5,3.12,1.97,43,40,新浪,2026-04-30 20:18:22,74.55,50.8875,0.0,
603096,新经典,18.44,1.77,0.0,0.0,0.0,2369420,4348.0,2.2,1.21,42,40,新浪,2026-04-30 20:18:22,76.44,50.61,0.0,
603808,歌力思,11.1,4.92,0.0,0.0,0.0,21443700,23723.8,1.16,1.14,41,39,新浪,2026-04-30 20:18:22,78.54,50.385000000000005,0.0,
603518,锦泓集团,9.95,2.26,0.0,0.0,0.0,13060838,12939.6,1.26,1.12,42,40,新浪,2026-04-30 20:18:22,75.39,50.3475,0.0,
600712,南宁百货,6.31,1.61,0.0,0.0,0.0,10274200,6443.2,1.58,1.73,43,40,新浪,2026-04-30 20:18:22,72.24,50.31,0.0,
002415,海康威视,36.29,4.25,0.0,0.0,0.0,117530949,422618.1,0.85,0.95,41,39,新浪,2026-04-30 20:18:22,78.12,50.28,0.0,
002052,同洲电子,10.09,6.21,0.0,0.0,0.0,46862084,44109.6,-2.63,1.55,43,40,新浪,2026-04-30 20:18:22,71.82000000000001,50.205,0.0,
002285,世联行,3.12,3.65,0.0,0.0,0.0,59246560,18310.6,1.46,1.08,41,39,新浪,2026-04-30 20:18:22,77.28,50.07,0.0,
601886,XD江河集,9.58,2.79,0.0,0.0,0.0,9870760,9313.1,0.3,1.13,42,40,新浪,2026-04-30 20:18:22,73.92,49.980000000000004,0.0,
605339,南侨食品,16.1,1.71,0.0,0.0,0.0,1365000,2182.3,0.92,1.63,43,40,新浪,2026-04-30 20:18:22,70.56,49.89,0.0,
002820,桂发祥,11.49,2.96,0.0,0.0,0.0,10424100,11972.3,2.25,1.29,41,39,新浪,2026-04-30 20:18:22,76.02,49.754999999999995,0.0,
600226,亨通股份,5.4,2.86,0.0,0.0,0.0,85120185,45878.3,2.46,1.37,41,39,新浪,2026-04-30 20:18:22,75.6,49.65,0.0,
600641,先导基电,27.62,2.07,0.0,0.0,0.0,58705138,163607.1,0.15,1.14,42,40,新浪,2026-04-30 20:18:22,72.03,49.5075,0.0,
002968,新大正,12.32,2.67,0.0,0.0,0.0,5271935,6437.0,2.16,1.34,41,39,新浪,2026-04-30 20:18:22,74.97,49.4925,0.0,
002873,新天药业,10.1,2.85,0.0,0.0,0.0,13366790,13415.9,1.03,1.26,41,39,新浪,2026-04-30 20:18:22,73.08,49.019999999999996,0.0,
600229,城市传媒,6.32,2.93,0.0,0.0,0.0,9358563,5938.2,0.93,1.35,41,39,新浪,2026-04-30 20:18:22,72.44999999999999,48.8625,0.0,
002329,皇氏集团,4.4,6.8,0.0,0.0,0.0,78232634,33898.0,0.7,1.05,39,37,新浪,2026-04-30 20:18:22,77.91,48.7275,0.0,
600807,济高发展,3.13,2.29,0.0,0.0,0.0,22901004,7130.3,4.4,1.18,39,37,新浪,2026-04-30 20:18:22,77.49,48.6225,0.0,
000803,山高环能,8.79,3.9,0.0,0.0,0.0,24087883,20813.8,2.94,0.55,38,36,新浪,2026-04-30 20:18:22,80.43,48.6075,0.0,
600272,开开实业,12.64,3.1,0.0,0.0,0.0,5110000,6461.3,0.66,1.36,41,39,新浪,2026-04-30 20:18:22,71.4,48.6,0.0,
002316,亚联发展,5.54,2.21,0.0,0.0,0.0,18216200,10071.1,0.85,1.21,41,39,新浪,2026-04-30 20:18:22,70.98,48.495000000000005,0.0,
600933,爱柯迪,16.97,2.85,0.0,0.0,0.0,30858188,52573.3,0.76,1.36,41,39,新浪,2026-04-30 20:18:22,70.77000000000001,48.4425,0.0,
600327,大东方,3.97,2.06,0.0,0.0,0.0,21325156,8463.4,1.59,1.49,41,39,新浪,2026-04-30 20:18:22,69.93,48.2325,0.0,
002910,庄园牧场,11.31,2.17,0.0,0.0,0.0,5685822,6424.9,1.19,1.46,41,39,新浪,2026-04-30 20:18:22,69.51,48.1275,0.0,
