代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct
002388,新亚制程,5.18,3.19,1.18,3.89,4.98,197025,10052.0,2.53,1.28,57,54
603976,正川股份,21.4,1.95,1.46,2.23,4.34,33686,7197.0,3.17,1.3,56,53
600336,澳柯玛,7.26,3.86,1.49,1.6,5.44,127302,9052.3,2.4,1.36,56,53
600415,小商品城,13.88,4.75,1.25,3.33,5.43,1824530,249530.0,5.71,1.15,56,53
003016,欣贺股份,8.3,1.84,1.71,1.48,4.54,60942,4995.9,1.54,1.62,56,53
601699,潞安环能,14.95,3.46,1.22,1.17,4.78,350616,52144.1,4.62,1.22,56,53
603948,建业股份,27.6,1.47,1.77,1.73,5.15,28182,7782.7,1.55,1.65,56,53
603001,奥康国际,8.87,2.9,1.53,3.19,4.06,127793,11157.8,0.32,1.41,56,53
605266,健之佳,19.11,1.33,1.83,1.31,2.55,20319,3860.7,1.28,1.81,56,53
000029,深深房Ａ,20.74,2.83,1.35,0.55,3.97,48631,9968.7,2.36,1.36,56,53
603677,奇精机械,15.96,1.59,1.73,1.2,3.69,23042,3643.6,1.98,1.76,56,53
603335,迪生力,6.81,6.07,1.07,12.49,9.81,534910,35318.3,-0.41,1.01,55,52
002968,新大正,11.82,3.05,1.28,2.09,4.88,44443,5168.3,2.16,1.34,55,52
002778,中晟高科,20.84,2.56,1.33,2.92,4.28,36022,7422.9,1.9,1.3,55,52
600327,大东方,3.83,2.96,1.36,2.02,4.57,178567,6723.7,1.59,1.49,55,52
603316,诚邦股份,15.54,3.19,1.03,3.3,6.24,87336,13469.2,0.41,1.09,55,52
600280,中央商场,3.03,3.06,1.5,2.61,4.42,294032,8778.9,1.0,1.4,55,52
002389,航天彩虹,22.21,3.54,1.13,2.36,4.66,232345,50819.8,0.71,1.25,55,52
600455,博通股份,25.98,2.12,1.41,2.89,3.69,18058,4635.9,1.38,1.44,55,52
002820,桂发祥,10.65,2.5,1.3,2.58,4.62,51870,5430.2,2.25,1.29,55,52
001335,信凯科技,46.48,1.91,1.16,6.63,4.58,16936,7894.1,2.25,1.08,55,52
002734,利民股份,18.15,1.79,1.29,7.36,3.31,319674,57294.7,2.79,1.29,55,52
002036,联创电子,9.05,3.08,1.36,2.86,5.58,301970,26856.2,1.05,1.32,55,52
603536,惠发食品,10.03,2.35,1.4,2.06,4.49,49491,4878.4,2.01,1.41,55,52
002148,北纬科技,7.72,2.39,1.33,2.14,4.64,96193,7323.7,1.13,1.33,55,52
603926,铁流股份,19.79,4.05,0.78,4.22,6.73,97496,19265.4,1.41,0.84,55,52
002330,得利斯,4.63,3.12,1.5,2.87,5.12,181996,8255.9,0.09,1.46,55,52
002104,恒宝股份,14.41,-0.28,1.89,6.17,7.68,369966,51737.6,-1.34,1.82,54,51
002926,华西证券,8.67,2.12,1.6,1.16,3.53,304705,26487.1,1.57,1.45,54,51
600110,诺德股份,10.48,7.38,1.03,12.61,10.25,2187787,221081.6,5.22,0.99,54,51
000790,华神科技,3.99,2.57,1.16,3.05,5.91,189642,7430.8,1.37,1.23,54,51
000679,大连友谊,6.96,2.81,1.33,1.85,4.43,66072,4531.5,2.08,1.42,54,51
002767,先锋电子,20.76,3.8,1.17,3.41,4.85,44374,9004.8,-1.74,1.2,54,51
603285,键邦股份,42.26,2.32,0.72,8.31,8.35,51743,21386.3,3.3,0.76,53,50
002903,宇环数控,32.92,5.34,0.93,8.8,8.22,93845,30313.1,1.58,0.9,53,50
600979,广安爱众,5.21,5.47,0.87,12.37,10.73,1524834,78514.8,-0.27,0.79,53,50
603032,德新科技,23.46,2.13,0.91,7.08,3.83,164111,37742.7,3.18,0.96,53,50
603656,泰禾智能,20.43,2.35,1.46,2.25,3.01,41230,8417.7,0.77,1.43,53,50
002403,爱仕达,10.58,2.52,1.49,3.0,8.91,89030,9560.3,-0.19,1.48,53,50
600235,民丰特纸,6.73,2.75,1.43,2.88,4.58,101218,6688.3,0.24,1.37,52,49
000802,北京文化,4.3,5.39,1.06,5.32,5.15,380676,16042.0,1.32,0.92,52,49
603280,南方路机,34.52,1.77,1.24,4.81,3.39,13453,4593.1,0.4,1.24,52,49
605208,永茂泰,15.78,1.87,1.06,7.08,5.55,233489,36671.2,1.41,1.13,52,49
002106,莱宝高科,10.88,4.21,0.96,2.32,5.36,163666,17617.3,1.04,1.16,52,49
