代码,名称,最新价,涨跌幅%,量比,换手率%,振幅%,成交量,成交额(万),ma5_dev%,vol_vs_ma5,score,score_pct,数据源,行情采集时间,adaptive_score,final_score
002404,嘉欣丝绸,7.11,1.57,0.0,0.0,0.0,10548050,7482.9,0.06,1.72,45,42,新浪,2026-04-28 14:14:28,,45.0
601001,晋控煤业,19.2,6.96,0.0,0.0,0.0,30570121,56229.8,1.04,0.77,45,42,新浪,2026-04-28 14:14:28,,45.0
002591,恒大高新,7.32,1.81,0.0,0.0,0.0,10309402,7492.4,2.86,1.52,45,42,新浪,2026-04-28 14:14:28,,45.0
603233,大参林,18.84,1.29,0.0,0.0,0.0,5769201,10836.4,2.96,1.51,45,42,新浪,2026-04-28 14:14:28,,45.0
002971,和远气体,33.85,2.42,0.0,0.0,0.0,10135960,33766.8,1.95,1.15,44,41,新浪,2026-04-28 14:14:28,,44.0
600188,兖矿能源,21.5,3.37,0.0,0.0,0.0,43214007,91809.7,2.45,1.01,44,41,新浪,2026-04-28 14:14:28,,44.0
002793,罗欣药业,5.51,2.61,0.0,0.0,0.0,76541440,42503.9,1.21,1.19,44,41,新浪,2026-04-28 14:14:28,,44.0
600955,维远股份,19.68,2.5,0.0,0.0,0.0,11479400,22495.1,2.2,1.04,44,41,新浪,2026-04-28 14:14:28,,44.0
603217,元利科技,30.94,2.18,0.0,0.0,0.0,5572130,17347.5,3.42,1.13,44,41,新浪,2026-04-28 14:14:28,,44.0
002493,荣盛石化,13.08,5.14,0.0,0.0,0.0,85483493,110034.0,2.2,1.14,44,41,新浪,2026-04-28 14:14:28,,44.0
002946,新乳业,19.22,3.39,0.0,0.0,0.0,11479520,22273.9,1.78,1.12,44,41,新浪,2026-04-28 14:14:28,,44.0
000626,远大控股,9.25,3.35,0.0,0.0,0.0,32882102,30269.5,1.45,1.43,44,41,新浪,2026-04-28 14:14:28,,44.0
605090,九丰能源,49.27,6.28,0.0,0.0,0.0,49842612,234460.7,0.52,1.0,44,41,新浪,2026-04-28 14:14:28,,44.0
601016,节能风电,4.76,2.37,0.0,0.0,0.0,576102434,265421.1,6.41,1.06,44,41,新浪,2026-04-28 14:14:28,,44.0
600736,苏州高新,7.82,2.22,0.0,0.0,0.0,220528612,169276.7,-1.22,1.36,43,40,新浪,2026-04-28 14:14:28,,43.0
002549,凯美特气,20.97,3.4,0.0,0.0,0.0,84279693,173768.7,2.44,1.25,43,40,新浪,2026-04-28 14:14:28,,43.0
600761,安徽合力,18.1,1.8,0.0,0.0,0.0,16786134,30362.2,2.75,1.97,43,40,新浪,2026-04-28 14:14:28,,43.0
600508,上海能源,13.69,2.01,0.0,0.0,0.0,10112800,13623.1,1.65,1.21,43,40,新浪,2026-04-28 14:14:28,,43.0
600409,三友化工,7.78,2.23,0.0,0.0,0.0,42164335,32517.3,2.73,1.26,43,40,新浪,2026-04-28 14:14:28,,43.0
601666,平煤股份,8.47,2.05,0.0,0.0,0.0,29396473,24646.9,3.18,1.4,43,40,新浪,2026-04-28 14:14:28,,43.0
000848,承德露露,8.92,6.06,0.0,0.0,0.0,70773977,63375.5,0.45,0.84,43,40,新浪,2026-04-28 14:14:28,,43.0
002900,哈三联,11.51,5.6,0.0,0.0,0.0,13556400,15619.4,0.57,1.23,43,40,新浪,2026-04-28 14:14:28,,43.0
002745,木林森,9.39,5.98,0.0,0.0,0.0,110522662,103461.1,0.32,0.69,43,40,新浪,2026-04-28 14:14:28,,43.0
600285,羚锐制药,22.62,5.46,0.0,0.0,0.0,23718893,53510.3,-0.27,1.24,43,40,新浪,2026-04-28 14:14:28,,43.0
600824,益民集团,4.04,1.25,0.0,0.0,0.0,13837787,5592.1,0.96,1.61,43,40,新浪,2026-04-28 14:14:28,,43.0
600769,祥龙电业,15.85,4.14,0.0,0.0,0.0,19042458,29720.8,0.3,0.92,43,40,新浪,2026-04-28 14:14:28,,43.0
601512,中新集团,10.42,3.99,0.0,0.0,0.0,33337785,34852.4,-2.34,0.88,43,40,新浪,2026-04-28 14:14:28,,43.0
000703,恒逸石化,15.65,1.95,0.0,0.0,0.0,90461474,140268.9,1.71,1.79,43,40,新浪,2026-04-28 14:14:28,,43.0
002989,中天精装,25.54,6.82,0.0,0.0,0.0,6614486,16870.9,-5.08,1.7,43,40,新浪,2026-04-28 14:14:28,,43.0
601330,绿色动力,9.18,5.52,0.0,0.0,0.0,52697433,47909.3,0.21,0.59,43,40,新浪,2026-04-28 14:14:28,,43.0
000651,格力电器,38.25,1.97,0.0,0.0,0.0,52421374,198346.2,1.14,1.74,43,40,新浪,2026-04-28 14:14:28,,43.0
601778,晶科科技,7.19,3.6,0.0,0.0,0.0,603897959,434386.3,1.49,0.75,43,40,新浪,2026-04-28 14:14:28,,43.0
600123,兰花科创,6.87,3.15,0.0,0.0,0.0,29112143,19663.7,2.75,1.47,43,40,新浪,2026-04-28 14:14:28,,43.0
600641,先导基电,27.36,3.17,0.0,0.0,0.0,58472476,157034.0,0.15,1.14,42,40,新浪,2026-04-28 14:14:28,,42.0
002494,华斯股份,5.76,2.13,0.0,0.0,0.0,10749500,6180.6,1.15,1.04,42,40,新浪,2026-04-28 14:14:28,,42.0
600176,中国巨石,34.39,2.84,0.0,0.0,0.0,127016913,435676.0,1.98,1.03,42,40,新浪,2026-04-28 14:14:28,,42.0
600256,广汇能源,6.49,4.01,0.0,0.0,0.0,197005318,125748.5,-0.38,1.16,42,40,新浪,2026-04-28 14:14:28,,42.0
601233,桐昆股份,21.0,3.3,0.0,0.0,0.0,29921054,62289.0,0.44,1.05,42,40,新浪,2026-04-28 14:14:28,,42.0
000007,全新好,14.28,2.22,0.0,0.0,0.0,6670150,9353.5,1.13,1.16,42,40,新浪,2026-04-28 14:14:28,,42.0
603116,红蜻蜓,6.07,1.17,0.0,0.0,0.0,12592560,7658.9,3.38,1.43,42,40,新浪,2026-04-28 14:14:28,,42.0
603351,威尔药业,26.7,2.18,0.0,0.0,0.0,1211690,3214.5,0.67,1.26,41,39,新浪,2026-04-28 14:14:28,,41.0
000528,柳 工,9.89,2.59,0.0,0.0,0.0,39002589,38274.1,-1.13,1.43,41,39,新浪,2026-04-28 14:14:28,,41.0
000663,永安林业,6.64,2.79,0.0,0.0,0.0,8584700,5647.8,1.48,1.34,41,39,新浪,2026-04-28 14:14:28,,41.0
603137,恒尚节能,13.85,3.44,0.0,0.0,0.0,4093640,5636.2,1.33,1.47,41,39,新浪,2026-04-28 14:14:28,,41.0
600408,安泰集团,3.3,2.48,0.0,0.0,0.0,48133601,15542.9,1.51,1.49,41,39,新浪,2026-04-28 14:14:28,,41.0
000983,山西焦煤,6.74,2.43,0.0,0.0,0.0,79993065,53527.6,1.64,1.4,41,39,新浪,2026-04-28 14:14:28,,41.0
600739,辽宁成大,11.87,3.49,0.0,0.0,0.0,22017107,26019.9,-0.73,1.51,41,39,新浪,2026-04-28 14:14:28,,41.0
603117,万林物流,4.67,3.55,0.0,0.0,0.0,16681120,7772.9,0.8,1.01,41,39,新浪,2026-04-28 14:14:28,,41.0
600773,西藏城投,27.21,4.33,0.0,0.0,0.0,33372769,88792.2,8.11,1.13,41,39,新浪,2026-04-28 14:14:28,,41.0
002552,宝鼎科技,22.06,2.51,0.0,0.0,0.0,17819200,39130.9,-0.24,1.25,41,39,新浪,2026-04-28 14:14:28,,41.0
002081,金 螳 螂,4.7,6.09,0.0,0.0,0.0,419338446,197314.2,-3.32,1.33,40,38,新浪,2026-04-28 14:14:28,,40.0
603378,亚士创能,5.8,1.22,0.0,0.0,0.0,6161360,3548.1,2.47,1.32,40,38,新浪,2026-04-28 14:14:28,,40.0
600150,中国船舶,41.32,7.58,0.0,0.0,0.0,231831274,954077.4,1.82,0.68,40,38,新浪,2026-04-28 14:14:28,,40.0
601101,昊华能源,10.68,7.99,0.0,0.0,0.0,54952920,56292.2,7.76,1.35,40,38,新浪,2026-04-28 14:14:28,,40.0
000025,特 力Ａ,16.24,1.06,0.0,0.0,0.0,6830160,11030.5,0.89,1.52,40,38,新浪,2026-04-28 14:14:28,,40.0
001387,雪祺电气,13.75,1.1,0.0,0.0,0.0,2818047,3870.9,1.77,1.28,40,38,新浪,2026-04-28 14:14:28,,40.0
002648,卫星化学,29.17,4.37,0.0,0.0,0.0,49996328,143413.9,2.6,0.81,40,38,新浪,2026-04-28 14:14:28,,40.0
002890,弘宇股份,16.75,1.89,0.0,0.0,0.0,2408500,3974.0,4.34,1.56,40,38,新浪,2026-04-28 14:14:28,,40.0
002394,联发股份,12.53,2.45,0.0,0.0,0.0,8355000,10340.2,-8.11,2.8,40,38,新浪,2026-04-28 14:14:28,,40.0
600030,中信证券,27.29,1.94,0.0,0.0,0.0,235226232,643894.5,1.03,1.24,40,38,新浪,2026-04-28 14:14:28,,40.0
600938,中国海油,39.76,2.42,0.0,0.0,0.0,39338260,154885.2,2.28,1.11,39,37,新浪,2026-04-28 14:14:28,,39.0
600526,菲达环保,5.54,2.4,0.0,0.0,0.0,12843323,7021.5,0.37,1.27,39,37,新浪,2026-04-28 14:14:28,,39.0
000985,大庆华科,20.01,1.52,0.0,0.0,0.0,1536988,3060.5,2.78,1.66,38,36,新浪,2026-04-28 14:14:28,,38.0
603101,汇嘉时代,10.81,2.46,0.0,0.0,0.0,28466574,30832.9,2.37,0.98,38,36,新浪,2026-04-28 14:14:28,,38.0
002636,金安国纪,45.59,3.38,0.0,0.0,0.0,72472432,338141.3,1.79,0.88,38,36,新浪,2026-04-28 14:14:28,,38.0
600348,华阳股份,10.22,4.29,0.0,0.0,0.0,58582126,59189.2,-1.92,0.88,38,36,新浪,2026-04-28 14:14:28,,38.0
600573,惠泉啤酒,13.43,1.13,0.0,0.0,0.0,11234771,15037.0,3.44,1.16,38,36,新浪,2026-04-28 14:14:28,,38.0
002602,世纪华通,17.27,3.41,0.0,0.0,0.0,119967702,207072.5,0.28,1.21,38,36,新浪,2026-04-28 14:14:28,,38.0
600217,中再资环,3.74,1.63,0.0,0.0,0.0,12663429,4718.2,-1.18,1.77,38,36,新浪,2026-04-28 14:14:28,,38.0
002730,电光科技,30.95,3.34,0.0,0.0,0.0,22603880,69429.9,5.91,1.29,38,36,新浪,2026-04-28 14:14:28,,38.0
002574,明牌珠宝,5.58,3.33,0.0,0.0,0.0,20745659,11657.4,0.6,1.3,38,36,新浪,2026-04-28 14:14:28,,38.0
000155,川能动力,18.47,3.3,0.0,0.0,0.0,105210125,191910.8,3.53,0.99,38,36,新浪,2026-04-28 14:14:28,,38.0
600350,山东高速,11.11,1.93,0.0,0.0,0.0,6143824,6835.7,0.93,1.2,38,36,新浪,2026-04-28 14:14:28,,38.0
002386,天原股份,6.93,1.91,0.0,0.0,0.0,69087622,48051.9,1.95,1.09,38,36,新浪,2026-04-28 14:14:28,,38.0
002444,巨星科技,32.52,3.17,0.0,0.0,0.0,18606969,60141.9,-0.46,1.37,38,36,新浪,2026-04-28 14:14:28,,38.0
002838,道恩股份,29.77,1.88,0.0,0.0,0.0,8029504,23724.8,3.5,1.1,38,36,新浪,2026-04-28 14:14:28,,38.0
603985,恒润股份,27.21,3.11,0.0,0.0,0.0,41166338,111436.1,4.94,0.9,38,36,新浪,2026-04-28 14:14:28,,38.0
000889,中嘉博创,4.72,5.83,0.0,0.0,0.0,195091370,92432.3,2.7,0.94,38,36,新浪,2026-04-28 14:14:28,,38.0
002245,蔚蓝锂芯,20.81,1.81,0.0,0.0,0.0,44494060,91982.1,-1.13,1.25,38,36,新浪,2026-04-28 14:14:28,,38.0
000637,茂化实华,4.57,1.56,0.0,0.0,0.0,8624200,3911.8,1.21,1.68,38,36,新浪,2026-04-28 14:14:28,,38.0
600685,中船防务,31.85,3.65,0.0,0.0,0.0,31191169,100100.1,-1.07,0.8,38,36,新浪,2026-04-28 14:14:28,,38.0
600903,贵州燃气,6.52,2.35,0.0,0.0,0.0,15966182,10366.6,0.95,1.13,37,35,新浪,2026-04-28 14:14:28,,37.0
603298,杭叉集团,27.44,1.67,0.0,0.0,0.0,6126038,16664.4,3.37,1.39,37,35,新浪,2026-04-28 14:14:28,,37.0
002233,塔牌集团,9.72,2.75,0.0,0.0,0.0,18121453,17407.2,1.09,1.04,37,35,新浪,2026-04-28 14:14:28,,37.0
002667,威领股份,31.95,1.46,0.0,0.0,0.0,20009770,61845.9,2.02,1.06,36,34,新浪,2026-04-28 14:14:28,,36.0
600768,宁波富邦,17.74,1.95,0.0,0.0,0.0,12852024,22953.7,1.59,1.07,36,34,新浪,2026-04-28 14:14:28,,36.0
002153,石基信息,9.82,2.4,0.0,0.0,0.0,43628617,43544.2,-0.42,1.25,36,34,新浪,2026-04-28 14:14:28,,36.0
601969,海南矿业,11.62,1.75,0.0,0.0,0.0,19993915,23125.1,1.01,1.02,36,34,新浪,2026-04-28 14:14:28,,36.0
603335,迪生力,7.25,6.46,0.0,0.0,0.0,57565638,40954.5,-0.41,1.01,36,34,新浪,2026-04-28 14:14:28,,36.0
600023,浙能电力,5.88,1.73,0.0,0.0,0.0,122090895,70400.4,0.14,1.02,36,34,新浪,2026-04-28 14:14:28,,36.0
000722,湖南发展,14.75,2.15,0.0,0.0,0.0,28758761,42030.8,-1.31,0.57,36,34,新浪,2026-04-28 14:14:28,,36.0
600690,海尔智家,21.33,3.95,0.0,0.0,0.0,112344913,237922.1,-0.43,1.04,36,34,新浪,2026-04-28 14:14:28,,36.0
000652,泰达股份,4.32,3.1,0.0,0.0,0.0,42317014,18194.6,0.14,0.78,36,34,新浪,2026-04-28 14:14:28,,36.0
002064,华峰化学,11.69,2.19,0.0,0.0,0.0,31988100,37310.3,0.18,0.78,36,34,新浪,2026-04-28 14:14:28,,36.0
000301,东方盛虹,13.06,2.35,0.0,0.0,0.0,25971968,33618.4,0.84,0.85,36,34,新浪,2026-04-28 14:14:28,,36.0
601678,滨化股份,5.24,2.34,0.0,0.0,0.0,60161570,31074.4,-0.04,0.77,36,34,新浪,2026-04-28 14:14:28,,36.0
002382,蓝帆医疗,7.73,3.2,0.0,0.0,0.0,43649628,33986.0,0.52,1.16,35,33,新浪,2026-04-28 14:14:28,,35.0
603880,南卫股份,6.66,1.83,0.0,0.0,0.0,8305155,5488.1,1.9,1.41,35,33,新浪,2026-04-28 14:14:28,,35.0
600186,莲花控股,9.89,5.89,0.0,0.0,0.0,346296318,339328.7,4.69,0.98,35,33,新浪,2026-04-28 14:14:28,,35.0
600545,卓郎智能,5.01,1.21,0.0,0.0,0.0,131061401,65240.3,9.56,1.8,35,33,新浪,2026-04-28 14:14:28,,35.0
000605,渤海股份,6.97,1.75,0.0,0.0,0.0,4542757,3140.0,1.75,1.34,35,33,新浪,2026-04-28 14:14:28,,35.0
002205,国统股份,13.09,1.39,0.0,0.0,0.0,3955802,5161.8,1.56,1.29,35,33,新浪,2026-04-28 14:14:28,,35.0
603693,江苏新能,15.68,4.05,0.0,0.0,0.0,24096269,37134.4,-2.72,0.46,35,33,新浪,2026-04-28 14:14:28,,35.0
002866,传艺科技,27.06,4.28,0.0,0.0,0.0,38356500,104234.4,-1.12,0.62,35,33,新浪,2026-04-28 14:14:28,,35.0
